id,zone_id,year,month,day,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
1,1,2005,3,6,19756.92438,19190.47556,19033.2229,18264.1712,19227.2306,20499.54784,21612.56931,23006.76144,23276.4932,20684.40116,18651.4991,17091.90112,15846.10133,14997.8795,14478.67216,14000.13914,14033.02089,15417.64166,16646.89573,17144.68453,17434.25298,17319.54656,15672.196,13991.58771
2,2,2005,3,6,162790.9138,158995.8665,157209.9721,160523.186,162036.4273,163818.1623,174692.7874,185633.1437,182300.9222,178641.7723,172262.6339,168440.5182,159904.1499,154659.1769,152683.6918,148962.3514,146436.5134,152706.1815,157687.4478,163455.1921,164866.6255,159470.9517,149177.137,138073.5652
3,3,2005,3,6,175816.4532,171222.157,169635.0138,172211.8922,173720.3804,176265.8241,188949.8458,200032.2562,197501.0313,192668.6527,185038.271,181829.6122,173303.4061,166941.8628,164392.2036,160783.1176,158296.0892,165276.0756,169675.2418,176169.2569,177896.7199,172272.0227,161745.4054,149480.8648
4,4,2005,3,6,520.9084838,491.7589507,514.2643139,512.0860038,524.0947217,524.5492641,551.5036202,623.6846069,673.1058553,669.9416525,623.1579848,578.0645263,552.8478555,523.7482631,497.5927264,479.7713811,500.7815021,544.595307,571.8526064,582.70193,578.1294933,562.0269699,496.1874384,430.9015452
5,5,2005,3,6,8531.423903,8347.278861,8559.307027,8589.888315,8836.854655,9408.688655,9712.588893,10715.15882,10831.7651,10230.3313,9252.540413,8598.233616,7878.46708,7456.469426,7230.978487,6859.711622,7092.738546,7913.902648,8400.435251,8775.969922,8906.530896,8400.806446,7306.893853,6329.293038
6,6,2005,3,6,170430.3393,166499.321,164707.9693,167755.0607,169769.799,171226.1775,184961.3255,195254.9479,193597.3234,189604.0916,181326.2615,177357.9008,168367.1527,162439.1486,160138.1954,156438.2198,153770.9839,161227.4247,166785.0363,172966.2718,174368.9877,169252.1869,157348.7566,144527.2668
7,7,2005,3,6,174995.3846,170768.0812,169445.4386,171982.342,173911.4025,175929.192,188931.2624,199996.7135,197455.9109,193763.5643,185893.1004,181875.1035,172845.9031,167001.9279,164791.9547,160843.0657,158423.9836,165452.2571,170410.262,176323.4424,178011.504,171994.3979,161255.2818,149144.4127
8,8,2005,3,6,3912.874937,3780.928646,3711.041964,3760.741114,3888.877775,3853.284123,4188.286017,4552.738918,4660.295167,4611.225714,4402.024804,4244.113332,4009.651954,3783.256841,3665.251819,3585.199281,3568.35961,3823.657396,4012.569103,4116.314235,4133.599612,3960.600777,3490.167022,3121.996978
9,9,2005,3,6,74119.88564,74147.88001,74223.95562,74794.81265,74706.91471,72029.79286,66756.13638,65499.98957,66336.36861,68781.60669,70800.14698,71938.47389,71961.06127,72385.07298,72467.12491,72430.72475,72228.54211,71897.74635,71416.38577,71195.55423,72397.25716,73741.7737,74498.43502,74306.14103
10,10,2005,3,6,25033.55209,24668.02154,25671.84677,22956.09595,24502.99711,28668.18346,32538.04317,37366.13636,29885.83374,27456.78638,25613.10391,25930.99344,24234.29414,23846.68527,24597.138,23575.76618,23102.8173,24497.17271,26468.80114,28067.07575,27886.96054,26331.2751,23720.72414,21442.40179
