DateTime,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11
2004-01-01 00:30:00,46,38,44,45,42,44,45,43,41,42,36
2004-01-01 01:30:00,46,36,42,43,42,43,44,44,39,43,32
2004-01-01 02:30:00,45,35,40,41,40,42,41,42,36,43,31
2004-01-01 03:30:00,41,30,36,37,39,38,40,34,35,39,30
2004-01-01 04:30:00,39,30,34,33,40,38,35,30,33,35,34
2004-01-01 05:30:00,35,29,32,32,41,37,35,35,36,35,35
2004-01-01 06:30:00,33,28,30,30,38,36,33,34,32,33,32
2004-01-01 07:30:00,33,28,30,29,33,36,30,33,31,33,30
2004-01-01 08:30:00,36,28,30,30,36,38,31,34,31,35,28
2004-01-01 09:30:00,47,33,32,41,43,44,39,41,35,42,30
2004-01-01 10:30:00,53,42,44,49,47,52,44,48,40,51,35
2004-01-01 11:30:00,54,47,49,54,50,55,51,54,47,55,41
2004-01-01 12:30:00,55,52,51,58,51,58,55,58,52,59,47
2004-01-01 13:30:00,55,54,52,59,51,60,56,60,55,60,51
2004-01-01 14:30:00,55,55,52,60,52,60,59,61,56,61,53
2004-01-01 15:30:00,55,56,52,60,51,60,60,62,56,62,54
2004-01-01 16:30:00,52,56,51,57,50,59,56,60,55,59,54
2004-01-01 17:30:00,46,52,48,51,47,53,51,53,48,53,53
2004-01-01 18:30:00,40,47,45,46,39,46,46,43,44,46,50
2004-01-01 19:30:00,40,46,35,43,39,44,42,37,38,43,50
2004-01-01 20:30:00,39,46,34,40,34,45,40,36,37,44,48
2004-01-01 21:30:00,38,45,30,37,33,43,38,36,37,42,47
2004-01-01 22:30:00,40,46,30,39,31,43,41,43,37,44,45
2004-01-01 23:30:00,41,46,30,42,33,45,41,44,38,46,41
2004-01-02 00:30:00,43,45,32,42,36,46,41,45,40,47,40
2004-01-02 01:30:00,44,44,33,44,36,47,42,46,41,48,39
2004-01-02 02:30:00,46,44,35,45,40,47,43,46,42,48,42
2004-01-02 03:30:00,46,45,39,45,42,46,45,46,44,48,42
2004-01-02 04:30:00,47,45,41,46,42,47,46,46,44,47,45
2004-01-02 05:30:00,47,44,42,46,43,45,46,45,44,46,46
2004-01-02 06:30:00,47,43,42,48,45,44,47,46,44,47,46
2004-01-02 07:30:00,47,43,43,48,44,44,45,48,41,46,47
2004-01-02 08:30:00,47,46,43,49,43,46,43,47,43,46,47
2004-01-02 09:30:00,47,48,43,50,42,48,44,46,43,47,47
2004-01-02 10:30:00,47,48,44,53,44,49,46,47,45,49,50
2004-01-02 11:30:00,49,50,44,55,44,52,48,53,45,52,51
2004-01-02 12:30:00,52,51,45,57,45,54,50,51,48,53,52
2004-01-02 13:30:00,56,52,46,58,47,56,53,52,52,55,54
2004-01-02 14:30:00,54,53,47,60,48,59,54,54,54,58,55
2004-01-02 15:30:00,56,55,49,62,49,61,55,57,55,58,57
2004-01-02 16:30:00,57,56,49,61,49,60,55,58,56,58,59
2004-01-02 17:30:00,53,54,47,54,46,58,52,52,53,56,56
2004-01-02 18:30:00,50,53,45,50,42,55,49,47,47,52,53
2004-01-02 19:30:00,47,52,42,46,42,53,47,44,49,50,53
2004-01-02 20:30:00,46,51,41,48,42,51,45,42,45,48,51
2004-01-02 21:30:00,45,49,41,48,41,49,46,43,44,47,46
2004-01-02 22:30:00,45,51,41,48,42,50,45,43,45,48,50
2004-01-02 23:30:00,45,50,38,48,39,50,45,47,44,49,50
2004-01-03 00:30:00,45,47,41,48,41,47,45,47,45,48,50
2004-01-03 01:30:00,46,50,40,48,41,50,46,47,45,49,53
2004-01-03 02:30:00,46,49,42,47,43,48,44,42,45,46,52
2004-01-03 03:30:00,44,50,42,49,43,47,44,41,45,46,52
2004-01-03 04:30:00,43,48,43,49,45,44,44,42,45,44,54
2004-01-03 05:30:00,46,46,45,49,45,42,43,41,45,41,55
2004-01-03 06:30:00,46,50,41,49,46,44,42,41,45,43,56
2004-01-03 07:30:00,47,48,45,49,45,42,42,47,45,44,56
2004-01-03 08:30:00,51,50,46,50,45,44,45,48,46,46,54
2004-01-03 09:30:00,55,52,48,53,49,51,50,53,49,51,57
2004-01-03 10:30:00,56,57,51,59,52,57,56,58,56,58,62
2004-01-03 11:30:00,59,62,53,63,57,62,62,63,62,63,65
2004-01-03 12:30:00,65,65,58,70,62,68,69,69,66,68,67
2004-01-03 13:30:00,68,68,62,72,65,71,71,72,69,71,69
2004-01-03 14:30:00,69,69,66,73,67,72,73,73,71,73,70
2004-01-03 15:30:00,68,69,68,73,67,72,73,73,72,73,70
2004-01-03 16:30:00,68,68,63,72,63,71,73,72,71,72,70
2004-01-03 17:30:00,65,65,64,68,61,66,68,68,69,67,70
2004-01-03 18:30:00,64,63,59,65,58,63,64,64,66,64,68
2004-01-03 19:30:00,63,62,58,63,56,62,65,63,65,62,65
2004-01-03 20:30:00,62,60,59,62,58,60,65,61,64,61,63
2004-01-03 21:30:00,63,60,59,62,60,60,63,61,62,61,64
2004-01-03 22:30:00,63,61,59,62,59,58,63,61,62,60,64
2004-01-03 23:30:00,62,60,58,62,59,60,63,61,61,61,62
2004-01-04 00:30:00,63,61,57,62,58,61,63,61,61,62,62
2004-01-04 01:30:00,62,59,58,62,57,60,62,61,61,61,62
2004-01-04 02:30:00,62,59,58,61,58,60,62,60,62,61,63
2004-01-04 03:30:00,62,60,58,61,58,60,61,60,62,61,64
2004-01-04 04:30:00,60,59,56,61,59,60,61,60,61,61,63
2004-01-04 05:30:00,60,60,55,61,59,60,61,60,61,61,63
2004-01-04 06:30:00,60,59,55,61,58,60,61,60,61,60,63
2004-01-04 07:30:00,62,58,55,61,58,58,62,60,61,60,62
2004-01-04 08:30:00,60,59,55,61,57,59,62,60,61,60,62
2004-01-04 09:30:00,64,59,56,63,59,60,63,63,61,62,64
2004-01-04 10:30:00,64,63,58,65,62,64,64,65,62,64,66
2004-01-04 11:30:00,66,63,60,70,63,67,68,69,66,68,69
2004-01-04 12:30:00,71,65,63,73,66,68,70,71,69,69,69
2004-01-04 13:30:00,70,65,65,76,65,68,72,73,70,69,69
2004-01-04 14:30:00,71,65,65,74,65,69,72,73,69,70,68
2004-01-04 15:30:00,72,65,64,74,65,69,73,73,69,70,66
2004-01-04 16:30:00,71,66,62,72,64,69,70,72,67,70,67
2004-01-04 17:30:00,68,65,61,71,56,67,70,70,66,69,65
2004-01-04 18:30:00,67,64,59,68,51,65,68,66,64,66,63
2004-01-04 19:30:00,67,62,56,66,49,62,66,66,63,64,62
2004-01-04 20:30:00,65,61,55,64,48,60,60,64,60,63,61
2004-01-04 21:30:00,64,61,48,63,48,62,59,63,52,63,61
2004-01-04 22:30:00,65,62,48,64,47,63,59,63,52,64,61
2004-01-04 23:30:00,64,62,47,65,46,63,58,63,50,64,60
2004-01-05 00:30:00,64,63,47,66,46,64,56,64,48,64,62
2004-01-05 01:30:00,63,62,45,66,45,63,56,62,48,64,62
2004-01-05 02:30:00,65,62,45,65,44,63,56,62,48,63,62
2004-01-05 03:30:00,64,63,45,65,44,63,56,62,48,63,63
2004-01-05 04:30:00,64,62,47,65,44,63,55,63,49,64,61
2004-01-05 05:30:00,64,60,55,65,44,64,54,63,48,64,59
2004-01-05 06:30:00,64,60,54,65,44,65,53,63,47,64,58
2004-01-05 07:30:00,64,60,55,65,44,65,54,64,47,65,58
2004-01-05 08:30:00,65,58,53,65,44,64,54,64,47,64,49
2004-01-05 09:30:00,66,58,55,69,44,65,54,65,47,65,48
2004-01-05 10:30:00,66,57,55,70,45,66,54,65,47,66,47
2004-01-05 11:30:00,67,57,53,71,46,66,52,67,46,65,49
2004-01-05 12:30:00,68,56,53,71,46,65,53,67,47,64,51
2004-01-05 13:30:00,68,56,54,70,46,65,54,66,47,64,53
2004-01-05 14:30:00,66,54,48,71,47,66,54,66,48,65,52
2004-01-05 15:30:00,66,52,49,71,47,66,54,66,49,65,52
2004-01-05 16:30:00,66,51,52,72,48,63,54,66,49,61,52
2004-01-05 17:30:00,66,50,51,70,47,60,54,62,49,60,50
2004-01-05 18:30:00,63,49,48,64,46,59,53,61,48,59,50
2004-01-05 19:30:00,54,46,47,63,46,57,52,61,47,57,45
2004-01-05 20:30:00,52,44,46,61,46,56,49,59,46,56,43
2004-01-05 21:30:00,49,41,46,61,45,54,48,58,43,54,41
2004-01-05 22:30:00,47,40,45,58,44,52,47,53,43,51,41
2004-01-05 23:30:00,47,36,43,51,43,47,44,51,41,47,39
2004-01-06 00:30:00,47,33,43,50,42,45,42,50,41,45,37
2004-01-06 01:30:00,46,35,43,50,41,44,41,48,40,44,36
2004-01-06 02:30:00,45,32,41,49,40,42,39,46,37,42,35
2004-01-06 03:30:00,43,33,40,47,39,41,38,45,37,41,35
2004-01-06 04:30:00,41,32,38,45,37,40,37,43,35,39,34
2004-01-06 05:30:00,41,32,36,45,36,39,36,40,33,38,34
2004-01-06 06:30:00,39,29,35,44,35,35,37,37,36,35,34
2004-01-06 07:30:00,39,32,33,42,34,36,34,33,35,34,32
2004-01-06 08:30:00,40,31,34,40,35,36,35,32,33,34,32
