Date, Measured, Max, Min
2010-01-01 0:00:00,-6.6,-6.6,-7.3
2010-01-01 1:00:00,-6.7,-6.5,-6.8
2010-01-01 2:00:00,-7.7,-6.5,-7.7
2010-01-01 3:00:00,-7.7,-7.3,-7.7
2010-01-01 4:00:00,-7.9,-7.7,-8.0
2010-01-01 5:00:00,-8.2,-7.9,-8.2
2010-01-01 6:00:00,-8.2,-8.1,-8.3
2010-01-01 7:00:00,-8.2,-8.0,-8.2
2010-01-01 8:00:00,-7.8,-7.8,-8.1
2010-01-01 9:00:00,-8.0,-7.8,-8.0
2010-01-01 10:00:00,-8.0,-7.9,-8.1
2010-01-01 11:00:00,-8.0,-7.9,-8.1
2010-01-01 12:00:00,-8.2,-7.9,-8.2
2010-01-01 13:00:00,-8.2,-8.2,-8.4
2010-01-01 14:00:00,-7.9,-7.9,-8.3
2010-01-01 15:00:00,-8.3,-7.9,-8.3
2010-01-01 16:00:00,-8.5,-8.2,-8.5
2010-01-01 17:00:00,-8.7,-8.5,-8.7
2010-01-01 18:00:00,-8.9,-8.6,-8.9
2010-01-01 19:00:00,-8.7,-8.7,-8.9
2010-01-01 20:00:00,-8.7,-8.7,-8.9
2010-01-01 21:00:00,-8.6,-8.6,-9.0
2010-01-01 22:00:00,-8.4,-8.4,-8.7
2010-01-01 23:00:00,-8.2,-8.2,-8.4
2010-01-02 0:00:00,-8.4,-8.2,-8.5
2010-01-02 1:00:00,-8.9,-8.5,-9.0
2010-01-02 2:00:00,-9.0,-8.9,-9.1
2010-01-02 3:00:00,-9.2,-8.9,-9.3
2010-01-02 4:00:00,-9.1,-9.1,-9.4
2010-01-02 5:00:00,-9.7,-9.0,-9.8
2010-01-02 6:00:00,-8.9,-8.9,-9.8
2010-01-02 7:00:00,-8.9,-8.7,-8.9
2010-01-02 8:00:00,-9.5,-8.9,-9.6
2010-01-02 9:00:00,-10.4,-9.5,-10.4
2010-01-02 10:00:00,-10.5,-10.4,-10.6
2010-01-02 11:00:00,-10.2,-10.2,-10.5
2010-01-02 12:00:00,-9.5,-9.5,-10.2
2010-01-02 13:00:00,-8.8,-8.8,-9.4
2010-01-02 14:00:00,-8.9,-8.8,-9.0
2010-01-02 15:00:00,-9.5,-8.9,-9.5
2010-01-02 16:00:00,-10.1,-9.5,-10.2
2010-01-02 17:00:00,-10.5,-10.2,-10.6
2010-01-02 18:00:00,-10.7,-10.5,-10.8
2010-01-02 19:00:00,-10.6,-10.6,-10.9
2010-01-02 20:00:00,-11.3,-10.5,-11.3
2010-01-02 21:00:00,-11.4,-11.2,-11.6
2010-01-02 22:00:00,-11.6,-11.2,-11.8
2010-01-02 23:00:00,-10.7,-10.5,-11.6
