"MethodName","Zone","Period","Time"
"averageARIMA","zone.4","period 1",7.0205960273742
"averageARIMA","zone.1","period 1",7.5912315845489
"averageARIMA","zone.2","period 1",7.777709960937
"averageARIMA","zone.7","period 1",7.7900884151458
"averageARIMA","zone.3","period 1",7.9225883483886
"averageARIMA","zone.5","period 1",7.938012599945
"averageARIMA","zone.8","period 1",7.8874096870422
"averageARIMA","zone.6","period 1",7.9772708415985
"averageARIMA","zone.4","period 2",4.8071880340576
"averageARIMA","zone.5","period 2",5.0300800800323
"averageARIMA","zone.3","period 2",6.5946164131164
"averageARIMA","zone.7","period 2",6.699672460556
"averageARIMA","zone.2","period 2",7.010287046432
"averageARIMA","zone.6","period 2",6.8385519981384
"averageARIMA","zone.8","period 2",8.0970959663391
"averageARIMA","zone.5","period 3",4.4975001811981
"averageARIMA","zone.8","period 3",4.1201064586639
"averageARIMA","zone.3","period 3",5.939929485321
"averageARIMA","zone.7","period 3",6.1255049705505
"averageARIMA","zone.2","period 3",6.1296513080596
"averageARIMA","zone.6","period 3",6.2639734745025
"averageARIMA","zone.5","period 4",6.2748615741729
"averageARIMA","zone.8","period 4",4.5169913768768
"averageARIMA","zone.3","period 4",5.5236403942108
"averageARIMA","zone.7","period 4",5.5663232803344
"averageARIMA","zone.2","period 4",5.7144322395324
"averageARIMA","zone.6","period 4",5.567927122116
"averageARIMA","zone.4","period 3",16.6334695816
"averageARIMA","zone.16","period 1",4.860883235931
"averageARIMA","zone.11","period 1",5.0764691829681
"averageARIMA","zone.14","period 1",5.0649383068084
"averageARIMA","zone.15","period 1",6.1170144081115
"averageARIMA","zone.4","period 4",4.949245929718
"averageARIMA","zone.13","period 1",9.8717994689941
"averageARIMA","zone.11","period 2",3.9443914890289
"averageARIMA","zone.14","period 2",4.0959458351135
"averageARIMA","zone.16","period 2",7.1052241325378
"averageARIMA","zone.12","period 1",4.176878452301
"averageARIMA","zone.13","period 2",4.2087693214416
"averageARIMA","zone.15","period 2",6.3486368656158
"averageARIMA","zone.11","period 3",4.2046964168548
"averageARIMA","zone.1","period 2",32.39032196998
"averageARIMA","zone.14","period 3",4.260008573532
"averageARIMA","zone.10","period 1",15.314716339111
"averageARIMA","zone.11","period 4",4.5685107707977
"averageARIMA","zone.12","period 2",6.4552969932556
"averageARIMA","zone.15","period 3",5.4406116008758
"averageARIMA","zone.16","period 3",8.266185760498
"averageARIMA","zone.14","period 4",5.9681570529937
"averageARIMA","zone.10","period 2",4.336214780807
"averageARIMA","zone.1","period 3",7.9024724960327
"averageARIMA","zone.13","period 3",10.39464282989
"averageARIMA","zone.12","period 3",4.6178932189941
"averageARIMA","zone.15","period 4",5.0244486331939
"averageARIMA","zone.10","period 3",4.4032380580902
"averageARIMA","zone.16","period 4",5.853150606155
"averageARIMA","zone.13","period 4",4.0651772022247
"averageARIMA","zone.10","period 4",3.6956734657287
"averageARIMA","zone.12","period 4",5.9958086013793
"averageARIMA","zone.1","period 4",8.2328262329101
"averageARIMA","zone.18","period 1",3.0605542659759
"averageARIMA","zone.20","period 1",4.7973825931549
"averageARIMA","zone.9","period 1",5.137265920639
"averageARIMA","zone.18","period 2",4.4080412387847
"averageARIMA","zone.20","period 2",4.2408900260925
"averageARIMA","zone.9","period 2",3.3715879917144
"averageARIMA","zone.18","period 3",3.6916055679321
"averageARIMA","zone.9","period 3",2.7800598144531
"averageARIMA","zone.19","period 1",23.628995418548
"averageARIMA","zone.20","period 3",3.8154695034027
"averageARIMA","zone.18","period 4",4.3902139663696
"averageARIMA","zone.9","period 4",4.3901417255401
"averageARIMA","zone.20","period 4",4.5499773025512
"averageARIMA","zone.19","period 2",4.7331342697143
"averageARIMA","zone.19","period 3",3.3458824157714
"averageARIMA","zone.17","period 1",4.8560435771942
"averageARIMA","zone.19","period 4",3.7415747642517
"averageARIMA","zone.17","period 2",2.7730906009674
"averageARIMA","zone.17","period 3",4.0011093616485
"averageARIMA","zone.17","period 4",4.4082534313201
"OriginalDSHW","zone.1","period 1",72.658637285232
"OriginalDSHW","zone.6","period 1",80.638325691223
"OriginalDSHW","zone.3","period 1",89.993876218795
"OriginalDSHW","zone.4","period 1",90.42592000961
"OriginalDSHW","zone.7","period 1",90.510088920593
"OriginalDSHW","zone.2","period 1",91.11959028244
"OriginalDSHW","zone.8","period 1",92.288523674011
"OriginalDSHW","zone.5","period 1",156.33474183082
"OriginalDSHW","zone.3","period 2",80.23468255996
"OriginalDSHW","zone.7","period 2",80.946875572204
"OriginalDSHW","zone.2","period 2",80.929236173629
"OriginalDSHW","zone.1","period 2",101.85996913909
"OriginalDSHW","zone.6","period 2",101.12781715393
"OriginalDSHW","zone.8","period 2",132.7781777381
"OriginalDSHW","zone.4","period 2",139.79539585113
"OriginalDSHW","zone.5","period 2",75.419371604919
"OriginalDSHW","zone.3","period 3",93.36133480072
"OriginalDSHW","zone.7","period 3",94.086149454116
"OriginalDSHW","zone.2","period 3",93.882596731185
"OriginalDSHW","zone.6","period 3",86.433688163757
"OriginalDSHW","zone.1","period 3",106.36222457885
"OriginalDSHW","zone.4","period 3",106.68198394775
"OriginalDSHW","zone.5","period 3",106.09478449821
"OriginalDSHW","zone.2","period 4",112.97993636131
"OriginalDSHW","zone.3","period 4",131.67264080047
"OriginalDSHW","zone.7","period 4",132.46717405319
"OriginalDSHW","zone.8","period 3",174.46397876739
"OriginalDSHW","zone.5","period 4",100.85226273536
"OriginalDSHW","zone.6","period 4",176.47374606132
"OriginalDSHW","zone.10","period 1",73.946315050125
"OriginalDSHW","zone.4","period 4",118.07440590858
"OriginalDSHW","zone.1","period 4",177.42171001434
"OriginalDSHW","zone.8","period 4",91.686321735382
"OriginalDSHW","zone.15","period 1",108.3874151706
"OriginalDSHW","zone.11","period 1",115.39890670776
"OriginalDSHW","zone.13","period 1",77.358333349227
"OriginalDSHW","zone.12","period 1",92.805357456207
"OriginalDSHW","zone.9","period 1",105.2110214233
"OriginalDSHW","zone.16","period 1",91.926682710647
"OriginalDSHW","zone.15","period 2",78.113253355026
"OriginalDSHW","zone.10","period 2",136.47411394119
"OriginalDSHW","zone.14","period 1",151.70726418495
"OriginalDSHW","zone.11","period 2",91.936298370361
"OriginalDSHW","zone.13","period 2",89.596130132675
"OriginalDSHW","zone.12","period 2",80.742319822311
"OriginalDSHW","zone.9","period 2",82.083702564239
"OriginalDSHW","zone.16","period 2",77.43695735931
